StudyID,school,female,eth,ell,sped,frpl,time,age,scw_s,coregpa,pn_bf1,pn_bf2,pn_scw,pn_scw2,avg_scw_tr
2477,p1,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2477,p1,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2477,p1,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA
2480,p1,1,AfricanAmerican,0,0,NA,T1,13.416666666666666,NA,NA,NA,NA,NA,NA,NA
2480,p1,1,AfricanAmerican,0,0,NA,T2,14,5,92.25,2487,2480,NA,NA,NA
2480,p1,1,AfricanAmerican,0,0,NA,T3,14.416666666666666,NA,NA,NA,NA,NA,NA,NA
2480,p1,1,AfricanAmerican,0,0,NA,T4,14.833333333333334,NA,NA,NA,NA,NA,NA,NA
2486,p1,1,AfricanAmerican,0,0,NA,T1,13.5,NA,NA,NA,NA,NA,NA,NA
2486,p1,1,AfricanAmerican,0,0,NA,T2,14.083333333333334,NA,80,NA,NA,NA,NA,NA
2486,p1,1,AfricanAmerican,0,0,NA,T3,14.5,NA,NA,NA,NA,NA,NA,NA
2486,p1,1,AfricanAmerican,0,0,NA,T4,15,NA,NA,NA,NA,NA,NA,NA
2645,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2645,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2645,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2645,p2,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,1
2656,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2656,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2656,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2656,p2,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA
2657,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2657,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2657,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2657,p2,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA
2658,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2658,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2658,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2658,p2,NA,Other,NA,NA,NA,T4,NA,NA,67.16666666666667,NA,NA,NA,NA,2
2661,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2661,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2661,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2661,p2,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,2
2670,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2670,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2670,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2670,p2,NA,Other,NA,NA,NA,T4,NA,NA,72,NA,NA,NA,NA,4
2683,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
2683,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
2683,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
2683,p2,NA,Other,NA,NA,NA,T4,NA,4,67.5,NA,NA,NA,NA,NA
1002,p2,1,Caucasian,0,0,0,T1,13.25,3.8,93.66666666666667,1006,1030,1006,1030,4.5
1002,p2,1,Caucasian,0,0,0,T2,13.833333333333334,4.4,91.5,1006,1030,1030,NA,NA
1002,p2,1,Caucasian,0,0,0,T3,14.333333333333334,3.8,78,1203,1111,1002,NA,4
1002,p2,1,Caucasian,0,0,0,T4,14.75,4.2,84.5,1006,2305,2390,NA,4.333333333333333
1004,p2,1,Caucasian,0,0,0,T1,13.333333333333334,4,84.33333333333333,1277,1015,1015,1265,3.5
1004,p2,1,Caucasian,0,0,0,T2,13.916666666666666,3.6,83.375,1226,1230,1251,NA,NA
1004,p2,1,Caucasian,0,0,0,T3,14.333333333333334,4,88,2258,1338,1279,NA,3.6666666666666665
1004,p2,1,Caucasian,0,0,0,T4,14.833333333333334,4,87,1121,1338,1212,NA,3.3333333333333335
1005,p2,0,Caucasian,0,1,0,T1,14,4.8,74,1274,1080,1050,1005,2.5
1005,p2,0,Caucasian,0,1,0,T2,14.583333333333334,3.2,75.375,1080,1274,1062,NA,NA
1005,p2,0,Caucasian,0,1,0,T3,15,4.6,71,2208,2206,1005,NA,4
1005,p2,0,Caucasian,0,1,0,T4,15.5,5,72.16666666666667,2208,2206,2206,NA,2.3333333333333335
1006,p2,1,Caucasian,0,1,0,T1,13.25,4.8,90.66666666666667,1002,1030,1006,1002,4
1006,p2,1,Caucasian,0,1,0,T2,13.833333333333334,5,88.83333333333333,1030,1002,1169,NA,NA
1006,p2,1,Caucasian,0,1,0,T3,14.25,3.8,83.66666666666667,1002,1193,NA,NA,4.333333333333333
1006,p2,1,Caucasian,0,1,0,T4,14.75,3.8,83.16666666666667,1167,2390,1114,NA,4
1007,p2,1,Caucasian,0,1,0,T1,13.75,3.8,90,1143,1020,1110,1058,4.25
1007,p2,1,Caucasian,0,1,0,T2,14.333333333333334,4,94.5,1143,1020,1207,NA,NA
1007,p2,1,Caucasian,0,1,0,T3,14.833333333333334,3.8,84.33333333333333,1143,1099,1167,NA,5
1007,p2,1,Caucasian,0,1,0,T4,15.25,3.6,92,1440,1193,1058,NA,4.5
1008,p2,1,Caucasian,0,0,0,T1,13.166666666666666,4.4,77.33333333333333,1278,1246,1214,1248,4.25
1008,p2,1,Caucasian,0,0,0,T2,13.75,4,86.33333333333333,1316,1278,1214,NA,NA
1008,p2,1,Caucasian,0,0,0,T3,14.166666666666666,4.6,81,1202,1330,1193,NA,4.666666666666667
1008,p2,1,Caucasian,0,0,0,T4,14.666666666666666,4.2,80.66666666666667,1356,1125,2163,NA,4
1009,p2,0,Caucasian,0,0,0,T1,13.916666666666666,4.4,92.33333333333333,1229,1056,1015,1396,4.5
1009,p2,0,Caucasian,0,0,0,T2,14.5,4,94.5,1363,1229,1015,NA,NA
1009,p2,0,Caucasian,0,0,0,T3,14.916666666666666,4.2,93.33333333333333,1169,1031,1031,NA,4.333333333333333
1009,p2,0,Caucasian,0,0,0,T4,15.416666666666666,3.8,88.5,1045,2016,1002,NA,4
1010,p2,1,Caucasian,0,0,0,T1,13.916666666666666,4.2,93,1039,1015,1015,1302,4.75
1010,p2,1,Caucasian,0,0,0,T2,14.5,4,94.16666666666667,1302,1173,1131,NA,NA
1010,p2,1,Caucasian,0,0,0,T3,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
1010,p2,1,Caucasian,0,0,0,T4,15.416666666666666,NA,NA,NA,NA,NA,NA,NA
1011,p2,0,AfricanAmerican,0,0,0,T1,13.5,4.4,91.66666666666667,1101,1109,1031,1109,3.75
1011,p2,0,AfricanAmerican,0,0,0,T2,14.083333333333334,4.2,93.66666666666667,1169,1059,1192,NA,NA
1011,p2,0,AfricanAmerican,0,0,0,T3,14.5,5,86,1233,1091,1352,NA,3.6666666666666665
1011,p2,0,AfricanAmerican,0,0,0,T4,15,5,86.5,1055,1031,1341,NA,4
1012,p2,0,Caucasian,0,0,0,T1,14,3.4,96.33333333333333,1187,1186,1007,1205,4.25
1012,p2,0,Caucasian,0,0,0,T2,14.583333333333334,4,95.33333333333333,1118,1186,1167,NA,NA
1012,p2,0,Caucasian,0,0,0,T3,15,3.6,93.33333333333333,1101,1087,2256,NA,5
1012,p2,0,Caucasian,0,0,0,T4,15.416666666666666,4.2,94.5,2138,2122,2625,NA,5
1013,p2,0,Caucasian,0,0,0,T1,13.75,3.2,80,1016,1087,1352,1145,2.25
